id|sentiment
0|0.5
1|0.5
2|0.44444
3|0.5
4|0.42708
5|0.375
6|0.41667
7|0.54167
8|0.33333
9|0.45833
10|0.47222
11|0.59722
12|0.33333
13|0.93056
14|0.80556
15|0.81944
16|0.76389
17|0.5
18|0.5
19|0.69444
20|0.5
21|0.75
22|0.29167
23|0.31944
24|0.73611
25|0.77778
26|0.59722
27|0.58333
28|0.68056
29|0.48611
30|0.52778
31|0.23611
32|0.29167
33|0.56944
34|0.375
35|0.47222
36|0.29167
37|0.375
38|0.30556
39|0.52778
40|0.18056
41|0.61111
42|0.59722
43|0.72222
44|0.33333
45|0.52778
46|0.40278
47|0.22222
48|0.31944
49|0.29167
50|0.66667
51|0.61111
52|0.43056
53|0.77778
54|0.40278
55|0.55556
56|0.55556
57|0.76389
58|0.18056
59|0.43056
60|0.36111
61|0.47222
62|0.33333
63|0.31944
64|0.5
65|0.48611
66|0.33333
67|0.25
68|0.30556
69|0.5
70|0.5
71|0.69444
72|0.52778
73|0.66667
74|0.5
75|0.51389
76|0.44444
77|0.55556
78|0.5
79|0.34722
80|0.30556
81|0.5
82|0.26389
83|0.29167
84|0.5
85|0.5
86|0.72222
87|0.61111
88|0.76389
89|0.77778
90|0.5
91|0.5
92|0.5
93|0.44444
94|0.54167
95|0.5
96|0.45833
97|0.5
98|0.5
